Question,Dimension Key,Dimension,Source Locked,Candidates,A — Official,Manager-scoped Candidates,Coverage Status,Next Action,Boundary
Q43,promotion_path,Does management show employees how they can get promoted?,Yes,0,0,0,Open — subtopic evidence gap,Find dated original evidence for Q43 dimension `promotion_path`; absence of evidence remains Unknown.,Coverage audit only — not a management score; analyst verification/promotion required.
Q43,training_resources,Does the business invest significant resources in employee training?,Yes,0,0,0,Open — subtopic evidence gap,Find dated original evidence for Q43 dimension `training_resources`; absence of evidence remains Unknown.,Coverage audit only — not a management score; analyst verification/promotion required.
Q43,applicant_attraction,Does the business attract a great number of applicants?,Yes,0,0,0,Open — subtopic evidence gap,Find dated original evidence for Q43 dimension `applicant_attraction`; absence of evidence remains Unknown.,Coverage audit only — not a management score; analyst verification/promotion required.
Q43,employees_recruited_away,Are employees avidly recruited from the business?,Yes,0,0,0,Open — subtopic evidence gap,Find dated original evidence for Q43 dimension `employees_recruited_away`; absence of evidence remains Unknown.,Coverage audit only — not a management score; analyst verification/promotion required.
Q43,benefit_gap,Are there large differences between the benefits that the top managers receive versus employees?,Yes,0,0,0,Open — subtopic evidence gap,Find dated original evidence for Q43 dimension `benefit_gap`; absence of evidence remains Unknown.,Coverage audit only — not a management score; analyst verification/promotion required.
Q43,respectful_layoffs,Does management treat employees with respect when they lay them off?,Yes,0,0,0,Open — subtopic evidence gap,Find dated original evidence for Q43 dimension `respectful_layoffs`; absence of evidence remains Unknown.,Coverage audit only — not a management score; analyst verification/promotion required.
Q43,listens_to_employees,Does management listen to its employees?,Yes,0,0,0,Open — subtopic evidence gap,Find dated original evidence for Q43 dimension `listens_to_employees`; absence of evidence remains Unknown.,Coverage audit only — not a management score; analyst verification/promotion required.
Q43,strong_culture,Does the business have a strong culture?,Yes,0,0,0,Open — subtopic evidence gap,Find dated original evidence for Q43 dimension `strong_culture`; absence of evidence remains Unknown.,Coverage audit only — not a management score; analyst verification/promotion required.
Q43,shared_values,"Does the business have identifiable, shared values?",Yes,0,0,0,Open — subtopic evidence gap,Find dated original evidence for Q43 dimension `shared_values`; absence of evidence remains Unknown.,Coverage audit only — not a management score; analyst verification/promotion required.
Q43,employee_retention_rate,What is the employee-retention rate?,Yes,0,0,0,Open — subtopic evidence gap,Find dated original evidence for Q43 dimension `employee_retention_rate`; absence of evidence remains Unknown.,Coverage audit only — not a management score; analyst verification/promotion required.
Q44,internal_promotion_succession,Internal promotion / succession,Yes,0,0,0,Open — subtopic evidence gap,Verify internal promotions/succession decisions and subsequent outcomes.,Coverage audit only — not a management score; analyst verification/promotion required.
Q44,external_hire,External hire,Yes,0,0,0,Open — subtopic evidence gap,Verify material external hires and subsequent outcomes.,Coverage audit only — not a management score; analyst verification/promotion required.
Q44,selection_process,Selection / talent development,Yes,20,20,0,Candidate coverage — analyst verify,"Verify how management selects/develops people, not résumé prestige alone.",Coverage audit only — not a management score; analyst verification/promotion required.
Q44,candor_challenge,Candor / challenge,Yes,0,0,0,Open — subtopic evidence gap,Find evidence that management hires/listens to candid people who can challenge decisions.,Coverage audit only — not a management score; analyst verification/promotion required.
Q44,observed_outcome,Observed hiring outcome,Yes,1,1,0,Candidate coverage — analyst verify,Link important hiring/promotion decisions to observed operating/governance outcomes.,Coverage audit only — not a management score; analyst verification/promotion required.
Q45,cost_action,Cost reduction / waste removal,Yes,0,0,0,Open — subtopic evidence gap,Verify specific cost actions and whether they removed waste/non-core spend.,Coverage audit only — not a management score; analyst verification/promotion required.
Q45,customer_employee_impact,Customer / employee impact,Yes,0,0,0,Open — subtopic evidence gap,Verify whether cost actions harmed customers/employees or service capability.,Coverage audit only — not a management score; analyst verification/promotion required.
Q45,core_investment_preserved,Core investment preserved,Yes,0,0,0,Open — subtopic evidence gap,Verify whether management preserved/reinvested in core capabilities while cutting waste.,Coverage audit only — not a management score; analyst verification/promotion required.
Q45,restructuring_one_off,Restructuring / one-off context,Yes,0,0,0,Open — subtopic evidence gap,Identify recurring 'one-off' restructuring and distinguish it from durable efficiency.,Coverage audit only — not a management score; analyst verification/promotion required.
Q46,shearn_action_1,Reinvest in business / new projects,Yes,0,0,0,Open — subtopic evidence gap,Find dated original evidence for Shearn capital-allocation action: Reinvest in business / new projects.,Coverage audit only — not a management score; analyst verification/promotion required.
Q46,shearn_action_2,Hold cash,Yes,0,0,0,Open — subtopic evidence gap,Find dated original evidence for Shearn capital-allocation action: Hold cash.,Coverage audit only — not a management score; analyst verification/promotion required.
Q46,shearn_action_3,Pay dividends,Yes,30,30,0,Candidate coverage — analyst verify,Find dated original evidence for Shearn capital-allocation action: Pay dividends.,Coverage audit only — not a management score; analyst verification/promotion required.
Q46,shearn_action_4,Buy back stock,Yes,0,0,0,Open — subtopic evidence gap,Find dated original evidence for Shearn capital-allocation action: Buy back stock.,Coverage audit only — not a management score; analyst verification/promotion required.
Q46,shearn_action_5,Make acquisitions,Yes,0,0,0,Open — subtopic evidence gap,Find dated original evidence for Shearn capital-allocation action: Make acquisitions.,Coverage audit only — not a management score; analyst verification/promotion required.
Q46,discipline_hurdle_context,Discipline / hurdle evidence (context only),No — context only,0,0,0,Open — subtopic evidence gap,"Find explicit hurdle/discipline evidence; this is context, not a sixth Shearn action.",Coverage audit only — not a management score; analyst verification/promotion required.
Q47,authorization_program,Authorization / program,Yes,0,0,0,Open — subtopic evidence gap,Verify explicit buyback authorization/program from original disclosure.,Coverage audit only — not a management score; analyst verification/promotion required.
Q47,execution_shares_cash,Execution / shares / cash,Yes,0,0,0,Open — subtopic evidence gap,"Verify actual execution, shares and cash; share-count decline alone does not qualify.",Coverage audit only — not a management score; analyst verification/promotion required.
Q47,price_valuation,Price / valuation context,Yes,0,0,0,Open — subtopic evidence gap,Verify repurchase price and contemporaneous valuation rationale/context.,Coverage audit only — not a management score; analyst verification/promotion required.
Q47,liquidity_cash_context,Liquidity / cash context,Yes,0,0,0,Open — subtopic evidence gap,Verify liquidity/cash context around the repurchase decision.,Coverage audit only — not a management score; analyst verification/promotion required.
